Location,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALABAMA,1064308.4,1044074.4,1084542.4,1088589.2,1052168.0,1072402.0,1048121.2,1011700.0,1027887.2,1047716.5,1108823.2,1112870.0,1120963.6,1112870.0,1133104.0,1282835.6,1294976.0,1549924.4,1464941.6,1349203.1,1216063.4,1373079.2,1265434.4,1129866.6,1138769.5,1082923.7,1067141.2,1119344.9,1044883.8,1048121.2,1121368.3,1233060.0,1280812.2,1271099.9,1468988.4,1492459.8,1366199.7,1330183.2,1442279.5,1386029.0,1396955.4,1300641.5,1233060.0,1265839.0,1152124.0,1100324.9,1024245.1,1023840.4,976088.16,949379.28,988633.24,923075.08,881797.72,825547.2,858326.28,821500.4,804908.52,771724.76,725995.92,731256.76,689979.4,538224.4,462953.92,458502.44,412773.6,382422.6,352880.96,363807.32,287727.48,264660.72,224597.4,253329.68,220550.6,246854.8,254948.4,267088.8,323744.0,151755.0,220145.92,203149.36,171179.64,214480.4,153778.4,123427.4,155801.8,131521.0,109263.6,101170.0,68795.6,72842.4,97123.2,84982.8,119380.6,101170.0,105216.8,89029.6,109263.6,101170.0,80936.0,80936.0,66772.2,60702.0,72842.4,76889.2,78912.6,80936.0,66772.2,113310.4,95099.8,101170.0,101170.0,101170.0,119380.6,119380.6,115333.8,99146.6,127474.2,95099.8,95099.8
ARIZONA,4451.48,4856.16,4046.8,4856.16,4046.8,5260.84,5260.84,6070.2,6474.88,6879.56,6070.2,6070.2,6474.88,6879.56,7284.24,8093.6,8093.6,11331.04,12140.4,8902.96,8498.28,8498.28,9307.64,9307.64,6879.56,7688.92,8902.96,9712.32,8902.96,7284.24,7688.92,8498.28,10117.0,10117.0,9307.64,10521.68,10926.36,10926.36,11735.72,10117.0,10926.36,11735.72,10117.0,9712.32,10117.0,9307.64,9307.64,9307.64,9307.64,10117.0,10117.0,10117.0,11331.04,10926.36,11331.04,16187.2,14163.8,11331.04,9712.32,8902.96,8498.28,8498.28,6879.56,7284.24,8498.28,8093.6,7688.92,8498.28,6879.56,8093.6,6070.2,6474.88,6070.2,3642.12,4046.8,4856.16,11331.04,20234.0,20234.0,18210.6,14163.8,12140.4,7284.24,5260.84,7284.24,5665.52,6070.2,6070.2,5260.84,5260.84,2832.76,2023.4,4451.48,4046.8,6070.2,8902.96,16187.2,16187.2,12140.4,12140.4,13354.44,11331.04,11331.04,8902.96,10926.36,8902.96,7284.24,8902.96,6070.2,8093.6,8902.96,14163.8,12949.76,20638.68,11331.04,14568.48,20234.0,12949.76,
ARKANSAS,922670.4,886249.2,906483.2,870062.0,837687.6,821500.4,821500.4,849828.0,866015.2,925503.16,926717.2,902436.4,926717.2,914576.8,874108.8,967185.2,930764.0,1001583.0,1011700.0,927526.56,902436.4,995108.12,889891.32,783460.48,819072.32,802885.12,806527.24,763226.48,731256.76,711022.76,621993.16,816239.56,839711.0,830403.36,825142.52,869657.32,851042.04,854279.48,901627.04,884630.48,851851.4,800457.04,737326.96,675815.6,626039.96,540247.8,580715.8,512729.56,496542.36,445148.0,541057.16,386469.4,334670.36,257781.16,231881.64,254948.4,261423.28,192223.0,170774.96,153778.4,123427.4,96313.84,83768.76,70414.32,53417.76,39658.64,30755.68,25090.16,20638.68,17401.24,17805.92,16187.2,11331.04,8498.28,9307.64,15377.84,18210.6,17401.24,12140.4,14163.8,14973.16,19829.32,12140.4,13354.44,19829.32,29541.64,32374.4,26304.2,24280.8,23471.44,29541.64,32374.4,38444.6,36421.2,36421.2,34397.8,93076.4,74865.8,87006.2,40468.0,70819.0,74865.8,103193.4,141638.0,123427.4,93076.4,72842.4,238761.2,174012.4,165918.8,153778.4,210433.6,281252.6,352071.6,214480.4,180082.6,301486.6,240784.6,263042.0
CALIFORNIA,25090.16,25494.84,25899.52,25090.16,23876.12,24685.48,25090.16,24280.8,23471.44,24280.8,25494.84,27518.24,30351.0,29136.96,33183.76,38444.6,40468.0,50585.0,56655.2,47347.56,33588.44,25494.84,19424.64,21043.36,14973.16,14973.16,14568.48,14163.8,13354.44,16187.2,17401.24,19424.64,22257.4,19019.96,15782.52,17401.24,17401.24,17805.92,17805.92,14568.48,15377.84,18210.6,16591.88,15377.84,14568.48,11735.72,12949.76,10926.36,12140.4,12545.08,16996.56,12140.4,15782.52,14973.16,41682.04,74461.12,70009.64,87410.88,71223.68,67581.56,52608.4,36825.88,31160.36,39658.64,43300.76,58273.92,72842.4,89029.6,74865.8,71628.36,82150.04,101170.0,87006.2,95099.8,91053.0,102788.72,117357.2,99955.96,113715.08,105216.8,109263.6,111287.0,133544.4,105216.8,151755.0,129497.6,101170.0,89434.28,75675.16,74865.8,64748.8,46538.2,60702.0,68795.6,72842.4,60702.0,89029.6,107240.2,99146.6,74865.8,82959.4,64748.8,60702.0,56655.2,60702.0,52608.4,44514.8,76889.2,68795.6,64748.8,72842.4,60702.0,72842.4,72842.4,38444.6,24280.8,40468.0,32374.4,30351.0
COLORADO,38039.92,44110.12,53013.08,57869.24,66367.52,72842.4,78912.6,84982.8,105216.8,146089.48,157825.2,170370.28,187366.84,202340.0,254948.4,283276.0,303510.0,339931.2,323744.0,304724.04,372305.6,349238.84,346001.4,483997.28,446766.72,490067.48,487639.4,490472.16,558053.72,510706.16,500589.16,546318.0,603782.56,617946.36,100360.64,333051.64,346406.08,218122.52,314436.36,201530.64,234714.4,288536.84,301486.6,273563.68,273563.68,214480.4,150540.96,160657.96,143661.4,195055.76,138805.24,137591.2,85792.16,95909.16,88624.92,95909.16,82554.72,119785.28,140828.64,123832.08,101574.68,93481.08,79317.28,72033.04,71223.68,77698.56,90243.64,109263.6,114119.76,135163.12,161872.0,182106.0,167942.2,196269.8,218527.2,226620.8,254948.4,281252.6,295416.4,307556.8,307556.8,311603.6,319697.2,246854.8,275182.4,301486.6,287322.8,279229.2,323744.0,376352.4,335884.4,352071.6,356118.4,360165.2,339931.2,335884.4,360165.2,396586.4,433007.6,453241.6,465382.0,433007.6,291369.6,360165.2,420867.2,384446.0,348024.8,428960.8,408726.8,400633.2,489662.8,526084.0,408726.8,396586.4,408726.8,384446.0,473475.6,526084.0,546318.0
DELAWARE,78912.6,78103.24,77698.56,80126.64,78912.6,76889.2,76889.2,76889.2,76889.2,76484.52,75270.48,75270.48,72842.4,72033.04,72033.04,74056.44,74865.8,82959.4,78912.6,69200.28,64344.12,68795.6,63939.44,61511.36,53822.44,53013.08,54227.12,53013.08,53417.76,52608.4,54227.12,57464.56,57869.24,57464.56,54631.8,55845.84,55845.84,56250.52,56250.52,56655.2,55441.16,53822.44,53417.76,52608.4,56250.52,55036.48,54227.12,50989.68,49370.96,53822.44,53822.44,62320.72,70414.32,64748.8,66367.52,65558.16,58273.92,53013.08,50989.68,61916.04,61106.68,47752.24,49775.64,60297.32,63939.44,80531.32,84578.12,85387.48,71628.36,72842.4,74865.8,78912.6,66772.2,68795.6,70819.0,68795.6,78912.6,70009.64,63534.76,64344.12,71628.36,73247.08,71628.36,58678.6,60702.0,70819.0,68390.92,59892.64,56655.2,53822.44,69604.96,68390.92,65153.48,64748.8,60702.0,58273.92,62320.72,64748.8,62725.4,62320.72,62725.4,65558.16,67581.56,65558.16,61916.04,62320.72,65153.48,74865.8,61511.36,65962.84,70009.64,73651.76,72033.04,70414.32,67986.24,66367.52,66367.52,69200.28,64344.12
FLORIDA,232691.0,230667.6,238761.2,240784.6,240784.6,248878.2,246854.8,240784.6,234714.4,246854.8,242808.0,236737.8,238761.2,238761.2,236737.8,261018.6,267088.8,295416.4,317673.8,319697.2,316055.08,316864.44,280847.92,260209.24,238356.52,243212.68,241189.28,243212.68,251306.28,248068.84,251710.96,284085.36,290155.56,298653.84,277205.8,305938.08,284085.36,272754.32,280847.92,263042.0,256162.44,245640.76,232691.0,240784.6,222574.0,200316.6,212861.68,199102.56,171584.32,139209.92,140423.96,146089.48,151755.0,133544.4,140019.28,142852.04,134758.44,127474.2,128283.56,132330.36,124236.76,134353.76,129092.92,135567.8,134353.76,142447.36,145280.12,186557.48,160253.28,132330.36,117761.88,127069.52,124236.76,137591.2,152159.68,151755.0,194246.4,120999.32,138400.56,137186.52,132735.04,132330.36,84982.8,49370.96,84982.8,76889.2,64748.8,42491.4,26304.2,32374.4,30351.0,30351.0,44514.8,40468.0,32374.4,24280.8,45324.16,30351.0,22257.4,16187.2,10117.0,10521.68,14973.16,15782.52,12949.76,11331.04,12140.4,14163.8,14163.8,14973.16,10117.0,13354.44,16187.2,31565.04,16187.2,20234.0,16187.2,14973.16,
GEORGIA,1444707.6,1388052.4,1388052.4,1363771.6,1339490.8,1408286.4,1379958.8,1367818.4,1355678.0,1375102.6,1400192.8,1396146.0,1388052.4,1428520.4,1420426.8,1562064.8,1541830.8,1707749.6,1748217.6,1727578.9,1640572.7,1718271.3,1657974.0,1542235.5,1562064.8,1451991.8,1430948.5,1430139.1,1331801.9,1339086.1,1397764.7,1521192.1,1635716.6,1619529.4,1762786.1,1824297.4,1632883.8,1658378.6,1822678.7,1697227.9,1666876.9,1555589.9,1329373.8,1420831.5,1296594.7,1269481.2,1167906.5,1072806.7,1035171.4,1066331.8,1034362.1,993084.72,923479.76,942095.04,885439.84,889081.96,862373.08,874513.48,853470.12,870466.68,748658.0,681481.12,626849.32,626849.32,601759.16,571812.84,577478.36,652748.84,633324.2,643441.2,632514.84,676624.96,602973.2,675815.6,760798.4,760798.4,874108.8,404680.0,607020.0,627254.0,526084.0,558458.4,329814.2,297439.8,398609.8,394563.0,295416.4,246854.8,202340.0,222574.0,222574.0,222574.0,279229.2,226620.8,218527.2,141638.0,212457.0,182106.0,107240.2,121404.0,97123.2,89029.6,117357.2,117357.2,113310.4,93076.4,91053.0,182106.0,125450.8,149731.6,99146.6,109263.6,125450.8,188176.2,125450.8,115333.8,137591.2,99146.6,111287.0
IDAHO,4046.8,4046.8,3642.12,4046.8,3237.44,3642.12,3642.12,4046.8,4046.8,4046.8,4046.8,4856.16,5260.84,6070.2,8498.28,9712.32,9307.64,9712.32,14973.16,9307.64,10926.36,8902.96,11331.04,14568.48,14973.16,14568.48,10926.36,12949.76,6474.88,8093.6,9307.64,10521.68,11735.72,12140.4,7284.24,7284.24,12949.76,14163.8,11735.72,13759.12,14568.48,16591.88,14973.16,6879.56,7688.92,6474.88,6879.56,6474.88,6879.56,5260.84,4856.16,4856.16,4856.16,5260.84,5665.52,6070.2,6070.2,8093.6,8902.96,10117.0,8498.28,9307.64,9307.64,8498.28,8093.6,8093.6,7284.24,8902.96,9712.32,11331.04,14163.8,13354.44,11735.72,12949.76,14163.8,13354.44,16591.88,16187.2,23471.44,20234.0,20234.0,26304.2,28732.28,26304.2,30351.0,32374.4,24280.8,20234.0,20234.0,20234.0,12140.4,25494.84,13354.44,18210.6,14163.8,14163.8,16187.2,17401.24,21043.36,22257.4,23066.76,18210.6,18210.6,20234.0,30351.0,24280.8,26304.2,42491.4,32374.4,32374.4,44514.8,48561.6,54631.8,46538.2,32374.4,28327.6,40468.0,46538.2,52608.4
ILLINOIS,4232952.8,4330076.0,4390778.0,4269374.0,4249140.0,4249140.0,4249140.0,4208672.0,3965864.0,4116809.6,4107502.0,3965864.0,4046800.0,3986098.0,3905162.0,3844460.0,3864694.0,4087268.0,3905162.0,3200209.4,3409429.0,3325255.6,2959424.8,3103895.6,3208303.0,3464870.2,3353583.2,3064237.0,3377054.6,3145982.3,3300570.1,3599223.9,3744504.0,3271028.4,2716616.8,3120487.5,3305426.2,3548638.9,3266981.6,3071116.5,2963876.3,3015270.7,3012033.2,3246747.6,3562802.7,3138698.1,3461228.0,3313924.5,3627956.2,3620672.0,3240677.4,3432900.4,3532047.0,3642929.4,3520311.3,3595581.8,3430472.4,3194543.9,3336181.9,3961412.5,4040729.8,3313519.8,3346703.6,3581013.3,3744504.0,3956556.4,4185200.6,4365687.8,4082411.8,3924586.6,4022519.2,4075127.6,3733173.0,3856600.4,4006332.0,4374590.8,4690241.2,4564790.4,4520275.6,4471714.0,4629539.2,4580977.6,4629539.2,3196972.0,4427199.2,4601211.6,4208672.0,3723056.0,3884928.0,4350310.0,4208672.0,4451480.0,4471714.0,4046800.0,4633586.0,4046800.0,4370544.0,4471714.0,4228906.0,4309842.0,4471714.0,4390778.0,4411012.0,4471714.0,4694288.0,4835926.0,4512182.0,5281074.0,4815692.0,4775224.0,5018032.0,4997798.0,4957330.0,4775224.0,4754990.0,4653820.0,4633586.0,4431246.0,4390778.0
